loan_amount,loan_repaid,crop_insured,years_of_exp_in_sericulture,training_on_sericulture,krishi_pond,borewell_recharge,rain_harvesting,own_compost_manure,own_vermi_compost,trenching_mulching,bio_fertilizers,mechanization,mulberry_diseases,affected_by_pest,rearing_cost,instrument_mgmt_cost,temp_mgmt,humidity_mgmt,airvent_temp_mgmt,rotary_mounting,seri_total_subsidy,income_per_acre,chawki_bivol,rearing_cost_missing
0,1,0,20,1,1,0,0,0,0,1,1,1,1,1,30000,5000,1,1,1,0,0,50909.09091,0,30000
0,1,0,25,1,0,0,0,0,1,0,0,0,1,1,40000,5000,1,1,1,0,0,69230.76923,0,40000
2.00E+05,0,0,10,0,0,0,0,1,1,0,1,1,1,1,50000,3000,1,1,1,0,110000,85600,0,50000
0,1,1,20,0,0,0,0,1,1,0,1,1,1,1,45000,5000,1,1,1,0,0,40000,1,45000
1.00E+05,1,0,25,0,0,0,0,1,1,0,0,1,1,1,60000,2000,1,0,1,0,24000,84158.41584,0,60000
1.00E+05,0,0,25,0,0,0,0,1,1,0,0,1,1,1,15000,2600,1,1,1,0,0,81102.3622,0,15000
60000,0,0,15,0,0,0,0,0,1,0,1,1,1,1,16000,2000,1,1,1,0,12500,55000,0,16000
1.00E+05,0,0,15,0,0,0,0,0,1,0,0,1,1,1,30000,4000,1,0,1,0,0,41500,0,30000
0,1,0,20,0,0,0,0,0,1,0,0,1,1,1,30000,4000,1,0,1,0,60000,40000,0,30000
2.00E+05,0,0,25,1,0,0,0,0,0,0,0,1,1,1,40000,12000,1,1,1,0,95000,75000,0,40000
0,1,0,10,0,0,0,0,1,1,0,0,1,0,0,25000,1500,1,1,1,1,0,90909.09091,0,25000
160000,1,0,25,1,0,0,0,1,0,0,1,1,1,0,30000,1500,1,1,1,0,43000,13043.47826,0,30000
2.00E+05,0,0,20,0,0,0,0,1,0,1,1,1,1,1,38000,5000,1,1,1,0,16000,59090.90909,0,38000
1.00E+05,0,0,20,0,0,0,0,0,0,0,1,0,0,1,30000,2000,1,1,1,0,0,86666.66667,0,30000
0,1,0,30,0,0,0,0,0,0,0,1,1,0,1,40000,6000,1,1,1,0,18000,1.00E+05,0,40000
0,1,0,20,0,0,0,0,0,0,0,1,1,1,0,0,6000,1,1,1,0,0,31250,0,0
0,1,0,30,0,0,0,0,0,1,0,0,1,1,1,30000,3000,1,1,1,1,0,98800,0,30000
0,1,0,30,0,0,0,0,0,1,0,0,1,0,1,30000,2000,1,1,1,0,0,79454.54545,0,30000
0,1,0,40,0,0,0,0,0,0,1,1,1,0,0,20000,4000,1,1,1,0,65000,50000,0,20000
0,1,0,30,0,1,0,0,0,0,0,0,0,1,0,11200,4000,1,1,1,0,12000,16279.06977,0,11200
20000,1,0,0,0,0,0,0,0,0,0,1,1,1,0,60000,2500,1,1,1,0,0,83333.33333,0,60000
1.00E+05,0,0,20,0,0,0,0,0,0,1,1,0,0,1,30000,2000,1,1,1,0,0,99200,0,30000
160000,0,0,40,0,0,0,0,0,0,1,0,0,0,1,50000,3000,1,0,1,0,12000,23529.41176,0,50000
0,1,0,25,0,0,0,0,0,0,0,1,1,1,0,20000,10000,1,1,1,0,90000,50000,0,20000
0,1,0,20,0,0,0,0,0,0,0,0,1,0,1,30000,1000,1,1,1,0,35000,10000,0,30000
0,1,0,12,0,0,0,0,0,0,0,0,0,0,1,38000,2000,1,1,1,0,0,4347.826087,0,38000
0,1,0,15,0,0,0,0,0,0,0,1,1,1,0,1.00E+05,6000,1,1,1,0,15000,50000,0,1.00E+05
0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,18000,1500,1,1,1,0,0,87500,0,18000
0,1,0,20,0,0,0,0,0,0,0,1,1,1,1,30000,600,1,1,1,0,0,68181.81818,0,30000
0,1,0,30,0,0,0,0,0,0,0,1,0,0,1,30000,2000,0,1,1,0,85000,19047.61905,0,30000
80000,0,0,30,0,0,0,0,0,0,0,1,0,0,0,15000,700,1,1,1,0,30000,104545.4545,0,15000
0,1,0,10,0,0,0,0,1,1,0,0,1,0,0,80000,1500,1,1,1,0,0,50000,0,80000
2.00E+05,1,0,0,0,0,0,0,1,1,0,0,1,0,1,45000,3000,1,1,1,0,150000,20930.23256,0,45000
50000,0,0,12,0,0,0,0,1,1,0,1,1,0,1,30000,6000,1,1,1,0,35000,30303.0303,0,30000
0,1,0,20,0,0,0,0,0,0,0,0,1,1,1,20000,1000,1,1,1,0,0,5714.285714,0,20000
0,1,0,40,0,1,0,1,1,1,0,1,1,1,1,20000,2800,1,1,1,0,0,61674.00881,0,20000
0,1,0,6,0,0,0,0,1,0,1,1,1,0,1,25000,6000,1,1,1,0,0,62500,0,
40000,0,0,10,0,0,0,0,0,0,0,0,0,0,1,80000,2000,1,1,1,0,10000,45454.54545,0,80000
0,1,0,15,0,0,0,0,0,0,0,1,0,0,1,1.00E+05,1800,1,1,1,0,0,45454.54545,0,1.00E+05
0,1,0,15,0,0,0,0,0,0,0,0,1,0,0,35000,5000,1,1,1,1,33000,38461.53846,0,35000
0,1,0,20,0,0,0,0,0,0,0,1,1,1,1,20000,500,1,1,1,0,0,35652.17391,0,20000
0,1,0,40,0,1,0,0,0,0,1,1,1,0,0,40000,3000,1,1,1,0,0,75000,0,40000
40000,1,0,20,0,0,0,0,0,0,1,1,0,0,1,25000,5000,1,1,1,0,0,79166.66667,0,25000
2.00E+05,0,0,15,0,1,0,0,0,0,0,1,1,0,0,30000,5000,1,1,1,0,25000,35000,0,30000
0,1,0,15,0,0,0,0,1,0,0,1,1,1,0,50000,2000,1,1,1,0,0,50000,0,50000
0,1,0,30,0,0,0,0,0,0,0,1,1,1,1,0,1000,1,1,1,0,0,5000,0,0
50000,1,0,15,0,0,0,0,0,0,0,1,1,1,1,30000,2000,1,1,1,1,25000,38461.53846,0,30000
25000,1,0,15,0,0,0,0,0,0,1,1,0,1,1,10000,2000,1,1,1,0,0,50000,0,10000
150000,1,0,25,1,1,0,0,1,0,0,1,0,1,0,50000,1000,1,1,1,0,0,25000,0,50000
0,1,0,25,1,1,0,0,1,0,0,1,1,1,0,60000,1500,1,1,1,0,0,45454.54545,0,60000
1.00E+05,1,0,30,0,0,0,0,1,0,0,1,1,1,0,20000,1000,1,1,1,0,0,25000,0,20000
1.00E+05,0,0,10,0,0,0,0,1,0,0,1,0,1,0,50000,1000,1,1,1,0,0,35000,0,50000
0,1,0,15,0,0,0,0,1,0,0,1,1,0,0,30000,1000,1,1,1,0,0,10000,0,30000
1.00E+05,1,0,10,0,0,0,0,1,0,0,1,1,1,0,0,1000,1,1,1,0,0,10000,0,0
0,1,0,30,0,0,0,0,1,0,0,1,1,0,0,15000,1000,1,1,1,0,30000,83333.33333,0,15000
50000,1,1,30,0,0,0,0,1,0,0,1,1,1,1,50000,1500,1,1,1,0,105000,8012.820513,0,50000
0,1,0,10,1,0,0,0,1,0,0,1,1,1,0,40000,1000,1,1,1,0,12000,25000,0,40000
2.00E+05,0,0,15,0,0,0,0,1,0,1,1,1,1,1,20000,2000,1,1,1,0,35000,40322.58065,0,
0,1,0,30,1,0,0,0,1,0,0,1,0,1,1,20000,1000,1,1,1,0,50000,55299.53917,0,20000
0,1,0,40,0,0,0,0,1,0,0,0,0,1,1,20000,1000,1,1,1,0,0,37500,0,20000
150000,1,0,10,1,0,0,0,1,1,0,1,1,1,0,25000,1000,1,1,1,0,30000,37500,0,25000
0,1,1,30,1,0,0,0,1,0,0,1,1,1,0,50000,1500,1,1,1,0,25000,3225.806452,0,50000
0,1,0,20,0,0,0,0,0,0,1,1,1,1,1,60000,1000,1,1,1,0,0,30000,0,60000
250000,1,0,20,1,0,0,0,1,0,0,0,0,1,0,80000,1000,1,1,1,0,30000,25000,0,80000
