loan_amount,loan_repaid,crop_insured,years_of_exp_in_sericulture,training_on_sericulture,krishi_pond,borewell_recharge,rain_harvesting,own_compost_manure,own_vermi_compost,trenching_mulching,bio_fertilizers,mechanization,mulberry_diseases,affected_by_pest,rearing_cost,instrument_mgmt_cost,temp_mgmt,humidity_mgmt,airvent_temp_mgmt,rotary_mounting,seri_total_subsidy,income_per_acre,chawki_bivol,rearing_cost_missing
0,1,0,10,0,0,0,0,1,0,0,1,1,1,0,50000,1000,1,1,1,0,0,38834.95146,0,50000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,0,40000,1000,1,1,1,0,0,44052.86344,0,40000
0,1,0,2,1,1,0,0,1,0,0,0,0,0,0,80000,2000,1,1,1,0,0,32154.34084,1,80000
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10000,0,1,1,1,0,42870,9500,1,10000
0,1,0,10,0,0,0,0,1,0,0,1,1,1,0,50000,1000,1,1,1,0,0,1.00E+05,0,50000
50000,1,0,20,0,0,0,0,1,0,0,1,1,1,0,30000,1000,1,1,1,0,25000,83333.33333,0,30000
0,1,0,25,0,0,0,0,0,1,0,0,1,0,1,30000,2000,1,1,1,0,30000,83333.33333,0,30000
0,1,0,30,0,0,0,0,0,1,0,0,1,0,1,30000,2000,1,1,1,0,0,1.00E+05,0,30000
0,1,0,30,0,0,0,0,0,1,0,0,1,0,1,30000,2000,1,1,1,0,30000,50000,0,30000
0,1,0,20,0,0,0,0,0,1,0,0,1,0,1,3000,2000,1,1,1,0,0,1.00E+05,0,3000
0,1,0,20,0,0,0,0,1,0,0,1,1,0,0,40000,10000,1,1,1,0,0,92307.69231,0,40000
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,8000,500,1,1,1,0,21000,18264.84018,1,8000
0,1,0,20,0,0,0,0,1,0,0,1,1,1,0,50000,2000,1,1,1,0,80000,150000,0,50000
0,1,0,20,0,0,0,0,0,1,0,0,1,0,1,30000,2000,1,1,1,0,0,50000,0,30000
0,1,0,40,0,0,0,0,0,1,0,0,1,1,1,20000,2000,1,1,1,0,30000,50000,0,20000
0,1,0,35,0,0,0,0,0,1,0,0,1,0,1,30000,2000,1,1,1,0,30000,50000,0,
0,1,0,30,0,0,0,0,0,1,0,0,1,0,1,40000,2000,1,1,1,0,0,84745.76271,0,40000
2.00E+05,0,0,30,0,0,0,0,1,1,0,0,1,0,1,25000,5000,1,1,1,1,0,20000,0,25000
50000,0,0,30,0,1,0,0,0,1,0,0,1,0,1,30000,3000,1,1,1,0,30000,83333.33333,0,30000
1.00E+05,1,0,1,1,0,0,0,1,0,0,0,0,0,0,30000,2000,1,1,1,0,157500,40000,1,30000
110000,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,87500,48449.54128,1,0
0,1,0,20,0,0,0,0,1,1,0,0,1,1,1,30000,12000,1,1,1,1,0,47761.19403,0,30000
1.00E+05,1,0,10,0,0,0,0,1,0,0,1,1,1,0,50000,1000,1,1,1,0,0,45454.54545,0,
0,1,0,20,0,0,0,0,0,0,0,1,1,1,0,45000,3000,1,1,1,0,0,150000,0,45000
0,1,0,30,0,0,0,0,0,0,1,1,1,0,0,80000,3000,1,1,1,0,0,76923.07692,0,
0,1,0,20,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,86363.63636,0,0
0,1,0,20,0,0,0,0,0,0,0,1,1,0,0,60000,4000,1,1,1,0,0,142857.1429,0,60000
0,1,0,23,0,0,0,0,0,0,1,1,1,0,0,60000,3000,1,1,1,0,0,96774.19355,0,60000
0,1,0,10,0,0,0,0,1,0,0,1,1,0,0,60000,9000,1,1,1,0,0,95238.09524,0,60000
0,1,0,10,0,0,0,0,1,0,0,1,1,1,0,40000,8000,1,1,1,0,0,66666.66667,0,40000
0,1,0,30,0,1,0,0,0,0,0,1,1,1,0,40000,2000,1,1,1,0,0,60000,0,40000
0,1,0,30,0,0,0,0,0,0,0,1,1,0,0,65000,4000,1,1,1,0,0,64516.12903,0,65000
0,1,0,40,0,0,0,0,0,0,1,1,1,0,0,65000,2000,1,1,1,0,0,80645.16129,0,65000
1.00E+05,1,0,20,0,0,0,0,0,0,0,0,1,0,0,40000,5000,1,1,1,0,0,1.00E+05,0,40000
0,1,0,20,0,0,0,0,0,0,0,1,1,0,0,30000,2000,1,1,1,0,0,150000,0,30000
1.00E+05,1,0,30,0,0,0,0,0,0,0,1,1,0,1,60000,5000,1,1,1,0,0,1.00E+05,0,60000
1.00E+05,0,0,32,0,1,0,0,0,1,0,0,1,0,1,40000,2000,1,1,1,0,0,1.00E+05,0,40000
0,1,0,35,0,0,0,0,0,1,0,0,1,0,1,30000,2000,1,1,1,0,0,153846.1538,0,30000
0,1,0,30,0,1,0,0,0,1,0,0,1,0,1,35000,3000,1,1,1,0,0,1.00E+05,0,35000
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,35000,3000,1,1,1,0,0,32786.88525,0,35000
0,1,0,20,0,0,0,0,0,0,0,1,1,0,0,60000,3000,1,1,1,0,0,150000,0,60000
0,1,0,30,0,1,0,0,0,1,0,0,1,0,1,30000,2000,1,1,1,0,0,90909.09091,0,30000
0,1,0,29,0,0,0,0,0,1,0,0,1,0,1,30000,2000,1,1,1,0,25000,76923.07692,0,30000
0,1,0,30,0,0,0,0,0,1,0,0,1,0,1,30000,2000,1,1,1,0,0,125000,0,30000
0,1,0,30,0,0,0,0,0,1,0,0,1,0,1,20000,2000,1,1,1,0,20000,91666.66667,0,20000
0,1,0,35,0,0,0,0,0,1,0,0,1,1,1,30000,2000,1,1,1,0,0,83333.33333,0,30000
